Timestamp (GMT),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
2025-03-11 16:11:58,-8832,-2796,12916,-236,132,-81
2025-03-11 16:18:59,-8652,-2740,12764,-230,138,-81
2025-03-11 16:19:03,-8804,-2768,12796,-226,132,-76
2025-03-11 16:19:18,-5200,-1916,14712,-57,447,45
2025-03-11 16:19:42,-9132,-2908,12588,-238,127,-60
2025-03-11 16:20:20,-9092,-3004,12384,-207,120,-66
2025-03-11 16:22:27,-8392,-3192,12940,-220,132,-77
2025-03-11 16:22:43,-7760,-3624,13416,540,1155,352
2025-03-11 16:25:29,-9096,-4096,12228,-217,122,-73
2025-03-11 16:38:58,0,0,0,0,0,0
2025-03-11 16:40:31,-8516,-2360,12548,-186,107,-51
2025-03-11 16:40:39,-8656,-2388,12932,-220,155,-72
2025-03-11 16:42:34,-8568,-2312,12932,-200,134,-58
2025-03-11 16:43:00,-8636,-2320,13104,-242,119,-89
2025-03-11 16:43:01,-8600,-2332,13004,-222,151,-37
2025-03-11 16:43:02,-8596,-2348,12956,-232,112,-71
2025-03-11 16:43:03,-8676,-2348,12944,-239,124,-80
2025-03-11 16:43:04,-8856,-2216,12932,-219,107,-61
2025-03-11 16:43:05,-8592,-2332,13184,-512,120,-84
2025-03-11 16:43:06,-8600,-2496,12876,-216,115,-61
2025-03-11 16:43:07,-8624,-2240,12932,-225,121,-48
2025-03-11 16:43:08,-8568,-2396,12952,-235,121,-73
2025-03-11 16:43:09,-8584,-2384,12844,-223,143,-56
2025-03-11 16:43:10,-8612,-2540,13024,-224,140,-75
2025-03-11 16:43:11,-8644,-2368,12992,-229,128,-60
2025-03-11 16:43:12,-8504,-2424,12924,-224,138,-56
2025-03-11 16:43:13,-8588,-2360,13008,-232,123,-64
2025-03-11 16:43:14,-8520,-2376,12980,-223,131,-74
2025-03-11 16:43:15,-8636,-2356,13016,-246,114,-83
2025-03-11 16:44:56,-8660,-2380,13052,-233,143,-70
2025-03-12 14:58:01,0,0,0,0,0,0
2025-03-12 15:00:02,-7548,-2684,14948,-359,1110,-208
2025-03-12 15:01:40,-5640,-3040,14276,-252,139,-63
2025-03-12 15:15:43,-4952,-632,14748,-170,144,19
2025-03-12 15:18:16,-5000,-972,14792,-246,104,-85
2025-03-12 15:18:18,-5152,-892,14924,-231,136,-62
2025-03-12 15:18:19,-5168,-924,14800,-199,129,-62
2025-03-12 15:18:20,-4988,-1024,15128,-83,151,-79
2025-03-12 15:18:21,-5180,-912,14440,-161,247,-779
2025-03-12 15:18:22,-5136,-1308,15028,-153,177,-115
2025-03-12 15:18:23,-5100,-256,14592,-48,150,-245
2025-03-12 15:18:24,-4916,-624,14812,-180,109,-106
2025-03-12 15:18:25,-5040,-956,14992,-256,118,7
2025-03-12 15:18:26,-5284,-792,15128,-207,162,4
2025-03-12 15:18:27,-5156,-872,15076,-245,110,-52
2025-03-12 15:18:28,-5172,-776,14664,-254,133,-70
2025-03-12 15:18:29,-5040,-872,14856,-213,124,-41
2025-03-12 15:18:30,-5120,-880,15060,-233,94,-46
2025-03-12 15:18:31,-5376,-792,15168,-214,134,-67
2025-03-12 15:18:32,-5064,-944,14652,-222,136,-46
2025-03-12 15:19:27,-5056,-940,15080,-220,128,-58
2025-03-12 15:24:38,-5092,-3600,14528,-260,124,-54
2025-03-12 15:29:04,0,0,0,0,0,0
2025-03-12 15:36:53,-5456,-1092,14768,-228,123,-58
2025-03-13 16:08:32,0,0,0,0,0,0
2025-03-13 16:10:13,-5516,-1284,14744,-222,149,-68
2025-03-13 16:30:37,0,0,0,0,0,0
2025-03-13 16:32:43,-7672,2976,12644,-663,-299,-50
2025-03-13 16:34:30,-8768,3256,13236,-355,297,201
2025-03-13 16:36:03,-7456,2864,12476,-107,63,98
2025-03-13 16:37:11,-8384,2736,14276,-553,511,309
